=== quarterly period coverage (income_statement) ===
Source: tests/fixtures/mini.duckdb
View: per (ticker, fiscal_year, period), MIN(accepted_date) = earliest emission.
Q4 lag = (Q4_first_accepted - FY_first_accepted) in days. A large positive lag means
Q4 didn't appear at the FY filing — it only materialised at the NEXT FY's 10-K.

=== AAPL ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2007 | N              | N              | N              | N              | 2009-10-27  | ---         | —
2008 | Y(2008-12-27)  | N              | Y(2008-06-28)  | N              | 2009-10-27  | ---         | —
2009 | Y(2009-12-26)  | Y(2009-03-28)  | Y(2009-06-27)  | Y(2009-09-26)  | 2009-10-27  | 2010-10-27  | +365
2010 | Y(2010-12-25)  | Y(2010-03-27)  | Y(2010-06-26)  | Y(2010-09-25)  | 2010-10-27  | 2011-10-26  | +364
2011 | Y(2011-12-31)  | Y(2011-03-26)  | Y(2011-06-25)  | Y(2011-09-24)  | 2011-10-26  | 2012-10-31  | +371
2012 | Y(2012-12-29)  | Y(2012-03-31)  | Y(2012-06-30)  | Y(2012-09-29)  | 2012-10-31  | 2013-10-30  | +364
2013 | Y(2013-12-28)  | Y(2013-03-30)  | Y(2013-06-29)  | Y(2013-09-28)  | 2013-10-30  | 2014-10-27  | +362
2014 | Y(2014-12-27)  | Y(2014-03-29)  | Y(2014-06-28)  | Y(2014-09-27)  | 2014-10-27  | 2015-10-28  | +366
2015 | Y(2015-12-26)  | Y(2015-03-28)  | Y(2015-06-27)  | Y(2015-09-26)  | 2015-10-28  | 2016-10-26  | +364
2016 | Y(2016-12-31)  | Y(2016-03-26)  | Y(2016-06-25)  | Y(2016-09-24)  | 2016-10-26  | 2017-11-03  | +373
2017 | Y(2017-12-30)  | Y(2017-04-01)  | Y(2017-07-01)  | Y(2017-09-30)  | 2017-11-03  | 2018-11-05  | +367
2018 | Y(2018-12-29)  | Y(2018-03-31)  | Y(2018-06-30)  | Y(2018-09-29)  | 2018-11-05  | 2019-10-31  | +360
2019 | Y(2019-12-28)  | Y(2019-03-30)  | Y(2019-06-29)  | Y(2019-09-28)  | 2019-10-31  | 2020-10-30  | +365
2020 | N              | Y(2020-03-28)  | Y(2020-06-27)  | N              | 2020-10-30  | ---         | —
